Nombre,Teléfono,Email,Dirección,Zona,Website,Score,Oportunidad,Notas
Don Julio Parrilla,+54 11 4831-9564,info@parrilladonjulio.com.ar,"Guatemala 4691, Palermo",Palermo Viejo,parrilladonjulio.com,92,Muy Alto,"Renombre alto, 4.7/5 rating, chatbot WhatsApp reduciría 10+ horas/semana"
La Cabrera,+54 11 4831-7002,,"Laprida 1611, Flores",Flores,lacabrera.com.ar,90,Muy Alto,"3 sucursales, oportunidad de venta multi-local, centralizar datos crítico"
Fervor - Parrilla Argentina,+54 11 5171-1330,,"Posadas 1519, Recoleta",Recoleta,,88,Muy Alto,"Zona turística, 4.5/5 rating, necesita chatbot multiidioma"
BASABAR - Basement Bar & Restaurant,+54 11 4893-9444,basa@basabar.com.ar,"San Telmo",San Telmo,basabar.com.ar,85,Alto,"Bar + restaurante, eventos requieren gestión de capacidad IA"
La Brigada,+54 11 4307-1919,,"Caseros 438, Barracas",Barracas,,84,Alto,"Parrilla tradicional, alto volumen, optimizar mesas es clave"
RouX - Comida Francesa,+54 11 5171-1330,,"Peña 2300, Recoleta",Recoleta,,82,Alto,"Restaurante upscale, 4.6/5 rating, cliente VIP detection importante"
Neko Belgrano,,"Av. Monroe 1850, Belgrano",Belgrano,,80,Alto,"Cocina Nikkei, zona con buen poder adquisitivo"
Mikhuna Nikkei,,"Microcentro",Microcentro,,79,Alto,"Cocina fusión, microcentro con mucho flujo"
El Punto Bar,+54 11 4924-0009,,"Av. Directorio 702, Caballito",Caballito,puntobar.com.ar,78,Medio,"Usa WhatsApp pero sin integración, pedidos manuales"
Parrilla Caballito,+54 11 4901-1972,,"Del Barco Centenera 138, Caballito",Caballito,,76,Medio,"Sin sistema de reserva online, perdiendo clientes"
Rosé Restaurant Bar,+54 11 6275-9506,,"Caballito",Caballito,rose.com.ar,75,Medio,"Cocina sous vide, propuesta diferenciada"
SACRO Restaurant,,"Palermo",Palermo,sacro.com.ar,74,Medio,"Presencia web, pero sin IA integrada"
Club del Progreso,,"Sarmiento 1334, Downtown",San Nicolás,,72,Medio,"Restaurante histórico de élite, oportunidad premium"
29noventa Restaurante,,"Belgrano",Belgrano,29noventa.com.ar,72,Medio,"Comida confortable, barrio Belgrano en crecimiento"
El Caldén del Soho,,"Palermo Soho",Palermo,caldendelsoho.com,70,Medio,"Parrilla moderna, Palermo Soho saturado (competencia fuerte)"
Corchio,,"Avenida La Heras 2001, Recoleta",Recoleta,,67,Medio,"Panadería + restaurante, recommended por NY Times"
El Obrero,+54 11 4362-9912,,"Agustín R. Caffarena 64, La Boca",La Boca,,68,Medio,"Bodegón tradicional, turístico"
Bodegón Caballito,+54 11 3297-3030,,"Nicasio Oroño 566, Caballito",Caballito,,66,Medio,"Experiencia gastronómica única, Caballito"
Don Carlos,+54 11 4362-2433,,"Brandsen 699, La Boca",La Boca,,65,Medio,"Cocina italiana/porteña, La Boca turístico"
Cucina Paradiso,+54 11 6275-9506,,"Av. Pedro Goyena 1054, Caballito",Caballito,,64,Medio,"Ubicación accesible, sin IA aún"
Il Matterello,+54 11 4307-0529,,"Martín Rodríguez 517, La Boca",La Boca,,63,Bajo,"Pasta artesanal, zona turística"
Salve Cocina,+54 11 3888-0056,,"Emilio Mitre 301, Caballito",Caballito,,62,Bajo,"Comida casual, Caballito"
El Pobre Luis,+54 11 4780-5847,,"Belgrano",Belgrano,,61,Bajo,"Parrilla tradicional, Belgrano"
Menenga,+54 11 6437-8166,,"Espinosa 480, Caballito",Caballito,,60,Bajo,"Comida confortable, horarios limitados"
Le Pain Quotidien,,"Mrcal A. de Sucre 2151, Belgrano",Belgrano,,58,Bajo,"Panadería/Restaurante belga, foco en productos"
