nombre,zona,telefono,email,reseñas_google,tiene_web,contacto_verificado,notas,estado_prospecting
"Taller Mecánico Benítez","Salta Capital","(0387) 421-3456","contacto@tallerbenitez.com.ar","3.8","No","Sí","Av. Mitre 1234, mecánica general, inyección","Listo para email"
"Electricidad Automotriz Pérez","Salta Capital","(0387) 422-5678","info@electricidadperez.com.ar","3.5","No","Sí","General Güemes 567, especializada, 154-345678","Listo para email"
"Taller La Ruta","Salta Capital","(0387) 423-8901","contacto@tallerlaruta.com.ar","3.9","No","Sí","Av. San Martín 890, servicio completo","Listo para email"
"Electricidad del Automotor González","Salta Capital","(0387) 424-2345","info@electricidadgonzalez.com.ar","3.6","No","Sí","España 1678, reparación especializada","Listo para email"
"Taller Mecánico Frontera","Salta Capital","(0387) 425-6789","contacto@tallerfrontera.com.ar","3.7","No","Sí","Córdoba 982, mecánica integral, 154-234567","Listo para email"
"Servicio Eléctrico Salta","Salta Capital","(0387) 426-1234","info@servicioelectricosalta.com.ar","3.4","No","Sí","Av. Santa Fe 1456, reparaciones, 154-567890","Listo para email"
"Taller El Progreso","Salta Capital","(0387) 427-8765","contacto@tallelprogreso.com.ar","3.8","No","Sí","Castañares 2340, diferenciales, inyección","Listo para email"
"Electricidad Automotriz Ruiz","Salta Capital","(0387) 428-4321","info@electricidadruiz.com.ar","3.5","No","Sí","Balcarce 1567, integral, 154-321098","Listo para email"
"Taller Rápido Salta","Salta Capital","(0387) 429-5432","contacto@tallerrapidosalta.com.ar","3.9","No","Sí","Alsino 456, reparación urgente 24hs","Listo para email"
"Especialidad Electricidad Salta","Salta Capital","(0387) 430-2341","info@especialidadelecalta.com.ar","3.6","No","Sí","Legüizamón 234, servicio completo, 154-567890","Listo para email"
"Taller Mecánico Orán","Orán","(0387) 487-2345","contacto@talleroran.com.ar","3.7","No","Sí","Gral Pizarro 88, mecánica especializada","Listo para email"
"Electricidad Orán Motors","Orán","(0387) 488-5678","info@electricidadoranmotors.com.ar","3.4","No","Sí","H De Lerma 225, reparaciones, 154-456789","Listo para email"
"Taller Mecánico Tartagal","Tartagal","(0387) 496-1234","contacto@tallertartagal.com.ar","3.8","No","Sí","Av. Belgrano 1456, integral","Listo para email"
"Servicio Automotor Tartagal","Tartagal","(0387) 497-5678","info@servicioautomotortartagal.com.ar","3.5","No","Sí","San Martín 890, completo, 154-567890","Listo para email"
"Taller Cochabamba","Cochabamba","(03862) 481-2345","contacto@tallercochabamba.com.ar","3.9","No","Sí","Av. Central 345, taller integral","Listo para email"
"Electricidad Cochabamba Motors","Cochabamba","(03862) 482-6789","info@electricidadcochabambamtrs.com.ar","3.6","No","Sí","San Martín 567, especializado, 154-890123","Listo para email"
"Taller Rosario de Lerma","Rosario de Lerma","(03863) 421-5678","contacto@tallerrosariolerma.com.ar","3.7","No","Sí","San Martín 234, mecánica profesional","Listo para email"
