nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Service Capital","Capital Federal","(011) 4966-2846","info@service-capital.com.ar","Posible","Sí","Servicio oficial, splits y centrales, Capital Federal","Listo para email"
"TECNICOBSAS","Capital Federal","(011) 7390-0055","info@tecnicobsas.com","Sí","Sí","Whatsapp +54 9 11 3241-9421, domiciliario","Listo para email"
"Servicio Oficial","Capital Federal","(011) 4963-3403","info@servicio-oficial.com.ar","Posible","Sí","Heladeras, lavarropas, aires, splits","Listo para email"
"Aires Service","Capital Federal","(02320) 68-4987","contacto@aires-service.com.ar","Posible","Sí","24hs, splits y centrales, garantía","Listo para email"
"Service Aire Acondicionado","Capital Federal","(011) 4551-4955","info@servicedeaireacondicionado.com.ar","Sí","Sí","En el día, garantía escrita, 0800-444-7378","Listo para email"
"Aireflow","Capital Federal","(011) Sin especificar","contacto@aireflow.com.ar","Sí","Sí","Lunes a sábado, emergencias 24hs","Listo para email"
"Reparación Service Aire","Capital Federal","(011) 3679-1517","contacto@reparacionsplitencapitalfederal.com.ar","Sí","Sí","Split, central, garantía","Listo para email"
"BGH Service","Capital Federal","(011) 3240-2064","contacto@bghservice.com.ar","Sí","Sí","BGH y Carrier, calefacción central","Listo para email"
"Servicio Carrier","Capital Federal","(011) 3240-2064","info@servcarrier.com.ar","Sí","Sí","Especializado Carrier, calefacción","Listo para email"
"Service Aire Técnico","Capital Federal","(011) Sin especificar","info@service-aire.com.ar","Sí","Sí","Garantía 30 días, técnico matriculado","Listo para email"
"AA Service Eléctrico","Capital Federal","(011) 2551-6929","aaservicioelectrico@gmail.com","No","Sí","Service aire + electricidad, 24hs","Listo para email"
"Ansal Refrigeración","Capital Federal","(011) Sin especificar","info@ansal.com.ar","Sí","Sí","Empresa refrigeración profesional","Listo para email"
"Instalación Aires","Capital Federal","(011) Sin especificar","contacto@instalacion-aires.com.ar","Sí","Sí","Instalación en el día, GBA y CABA","Listo para email"
"Service Aire Central","Capital Federal","(011) 4637-9800","info@serviceaireacondicionadocentral.com","Sí","Sí","Central, splits, garantía","Listo para email"
"Reparación Aires Capital","Capital Federal","(011) 2474-6622","reparacion@aires-capital.com.ar","Posible","Sí","Técnicos matriculados, CABA y GBA","Listo para email"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
